sampleID	projectID	Race	Continent
SRR11071396	PRJNA606061	Japan	Asia
SRR11071397	PRJNA606061	Japan	Asia
SRR11071398	PRJNA606061	Japan	Asia
SRR11071399	PRJNA606061	Japan	Asia
SRR11071400	PRJNA606061	Japan	Asia
SRR11071401	PRJNA606061	Japan	Asia
SRR11071402	PRJNA606061	Japan	Asia
SRR11071403	PRJNA606061	Japan	Asia
SRR11071404	PRJNA606061	Japan	Asia
SRR11071405	PRJNA606061	Japan	Asia
SRR11071406	PRJNA606061	Japan	Asia
SRR11071407	PRJNA606061	Japan	Asia
SRR11071408	PRJNA606061	Japan	Asia
SRR11071409	PRJNA606061	Japan	Asia
SRR11071410	PRJNA606061	Japan	Asia
SRR11071411	PRJNA606061	Japan	Asia
SRR11071412	PRJNA606061	Japan	Asia
SRR11071413	PRJNA606061	Japan	Asia
SRR11071414	PRJNA606061	Japan	Asia
SRR11071415	PRJNA606061	Japan	Asia
SRR11071416	PRJNA606061	Japan	Asia
SRR11071417	PRJNA606061	Japan	Asia
SRR11071418	PRJNA606061	Japan	Asia
SRR11071419	PRJNA606061	Japan	Asia
SRR11071420	PRJNA606061	Japan	Asia
SRR11071421	PRJNA606061	Japan	Asia
SRR11071422	PRJNA606061	Japan	Asia
SRR11071423	PRJNA606061	Japan	Asia
SRR11071424	PRJNA606061	Japan	Asia
SRR11071425	PRJNA606061	Japan	Asia
SRR11071426	PRJNA606061	Japan	Asia
SRR11071427	PRJNA606061	Japan	Asia
SRR11071428	PRJNA606061	Japan	Asia
SRR11071429	PRJNA606061	Japan	Asia
SRR11071430	PRJNA606061	Japan	Asia
SRR11071431	PRJNA606061	Japan	Asia
SRR11071432	PRJNA606061	Japan	Asia
SRR11071433	PRJNA606061	Japan	Asia
SRR11071434	PRJNA606061	Japan	Asia
SRR11071435	PRJNA606061	Japan	Asia
SRR11071436	PRJNA606061	Japan	Asia
SRR11071437	PRJNA606061	Japan	Asia
SRR11071438	PRJNA606061	Japan	Asia
SRR11071439	PRJNA606061	Japan	Asia
SRR11071440	PRJNA606061	Japan	Asia
SRR11071441	PRJNA606061	Japan	Asia
SRR11071442	PRJNA606061	Japan	Asia
SRR11071443	PRJNA606061	Japan	Asia
SRR11071444	PRJNA606061	Japan	Asia
SRR11071445	PRJNA606061	Japan	Asia
